book_code,person_counter,role
37399,1279,writer
37399,1280,translator
81887,1281,writer
37725,1282,writer
36190,1283,writer
92969,1286,writer
92969,1287,translator
111041,1288,writer
103728,1289,writer
61076,67,writer
61076,1291,writer
73583,1292,writer
105203,1295,writer
105203,1296,translator
16925,1297,writer
69941,1298,writer
43301,1300,writer
43301,1301,translator
102306,1302,writer
43525,647,writer
43525,11,translator
62083,1303,writer
62083,1304,translator
119409,1305,writer
23531,1306,writer
43997,1308,writer
115600,1309,writer
115600,1310,writer
115600,1311,translator
30515,1312,writer
113448,1313,writer
47578,1316,writer
47578,1317,translator
74785,1318,writer
74785,1319,translator
31880,1320,writer
112405,1266,writer
57177,364,writer
37313,1322,writer
50137,1325,writer
59865,1326,writer
59865,1327,translator
1772,1330,writer
1772,1331,translator
95383,1332,writer
95383,1333,translator
95383,1334,translator
70227,616,writer
34718,1335,writer
34718,1336,translator
70227,617,translator
24755,1337,writer
24755,1338,translator
64124,1342,writer
64124,1343,translator
109935,1341,writer
20323,1344,writer
20323,1345,translator
113864,1202,writer
76289,1463,writer
76289,1464,translator
113190,1347,writer
113190,503,translator
68466,1348,writer
115579,1349,writer
115579,1350,translator
85993,1351,writer
76670,67,writer
76670,1353,translator
41284,674,writer
41284,1356,translator
53819,1358,writer
53819,1359,translator
83639,1360,writer
83639,1361,translator
104767,1364,writer
104767,1136,translator
90479,125,writer
48838,1013,translator
55069,1367,writer
55069,1368,translator
3602,1369,writer
3602,1370,writer
3602,1371,translator
58417,1372,writer
58417,1373,translator
64600,1374,writer
88007,1375,writer
88007,1376,translator
36739,1377,writer
36739,1378,translator
112938,1379,writer
112938,1380,translator
99757,1381,writer
99757,1382,translator
49864,67,writer
49864,1384,translator
81800,1385,writer
47054,67,writer
47054,1388,writer
48993,1389,writer
48993,1390,translator
5826,1391,writer
106405,1392,writer
106405,250,translator
44416,1393,writer
44416,136,translator
49086,184,writer
105026,1395,writer
105985,1397,writer
105985,1398,translator
29034,67,writer
29034,1399,writer
29034,1400,translator
86980,1401,writer
37390,22,writer
45378,1402,writer
45378,1403,translator
103773,1405,writer
103773,1406,translator
6810,1404,writer
65059,1407,writer
65059,1408,translator
84603,1409,writer
1134,1410,writer
1134,1411,translator
41908,1412,writer
45470,1413,writer
45470,1414,translator
112269,1415,writer
56923,1416,writer
88450,1417,writer
38370,1418,writer
38370,1419,translator
111410,1420,writer
54768,1421,writer
112864,1422,writer
112864,1423,translator
1382,1426,writer
1382,1427,translator
15314,1428,writer
15314,1429,translator
34752,1430,writer
34752,1431,translator
34752,1432,translator
106449,1435,writer
19484,1438,writer
19484,1439,translator
84337,1440,writer
96564,1441,writer
96564,1442,writer
91532,1447,writer
91532,1448,translator
50806,1449,writer
55468,1450,writer
81318,1451,writer
81318,1452,translator
91457,1453,writer
96507,1454,writer
57111,1455,writer
26848,1063,writer
74721,1456,writer
40340,1457,writer
74183,1458,writer
74183,1459,translator
121543,1460,writer
67797,1461,writer
67797,1462,translator
81450,1465,writer
81450,911,translator
102513,1422,writer
31497,1466,writer
31497,1467,translator
115094,287,writer
115094,288,translator
49515,1468,writer
94850,1469,writer
95255,597,writer
109975,1470,writer
35566,1471,writer
82369,67,writer
82369,356,writer
85824,827,writer
50185,1472,writer
96372,1473,writer
89148,1474,writer
56511,959,writer
115954,1477,writer
34274,1478,writer
34274,1479,translator
102918,1480,writer
102918,41,translator
59807,67,writer
59807,1481,translator
108736,1482,writer
42669,1483,writer
31435,1485,translator
105130,1489,writer
105130,1490,translator
95944,1491,writer
43199,1492,writer
107883,1493,writer
81795,1494,writer
114239,1495,writer
114239,1496,translator
16704,1498,writer
83200,591,writer
36135,1500,writer
36135,1501,translator
48182,1502,writer
87416,1504,writer
87416,1505,translator
59827,1506,writer
59827,1507,translator
5270,1508,writer
5270,1509,translator
5270,1510,translator
98813,1511,writer
23749,1513,writer
23749,1514,translator
88524,67,writer
88524,1518,writer
44264,1519,writer
44264,1520,translator
113084,296,writer
48606,1522,writer
29179,1523,writer
88432,1524,writer
35710,1525,writer
35710,67,translator
35710,1526,translator
113972,1529,writer
113972,1530,translator
113972,1531,translator
45836,1532,writer
45836,1533,translator
14504,1534,writer
14504,1535,translator
54358,1536,writer
57188,1537,writer
57188,1538,translator
84510,1539,writer
106261,1540,writer
106261,1541,translator
93528,1542,writer
93528,1543,writer
42595,1544,writer
40538,1545,writer
34109,1546,writer
34109,1547,translator
83207,1548,writer
83207,1549,translator
89008,1029,writer
48419,1550,writer
48419,1551,translator
35742,495,writer
89562,1552,writer
57185,1553,writer
57185,1554,translator
49481,1555,writer
119523,1556,writer
119523,1557,translator
59406,1559,writer
50647,1558,writer
