code,title_persian,title_english,price,discount,grade,code,shabak,page_count,release_year_sh,release_year_mi,exist,earliest_access,print_series,ghate,cover
27391,پریباد, Paribad,157500,30,3.74,27391,978-6005941364,544,1399,,True,1402-07-06,3,رقعی,شومیز
48848,پنج دقیقه خوب, Five Good Minutes,33750,25,3.07,48848,978-9644056543,307,1385,2005,True,1402-07-08,1,رقعی,شومیز
68711,پنج دقیقه ی خوب شبانگاهی, Five Good Minutes,41250,25,3.04,68711,978-9642878383,104,1401,2005,True,1402-07-06,5,رقعی,شومیز
94309,برنامه نویسی به زبان C, Barnamenevisi,495000,10,3.55,94309,978-6002051462,652,1401,,True,1402-07-10,6,وزیری,شومیز
114859,شکم گرسنه و پیرمرد زاهد, Shekame Gorosneh,12000,25,3.32,114859,978-6003597907,16,1397,,True,1402-07-08,1,رحلی,جلدسخت
116962,فرهنگ فارسی - فرانسه, Dictionnaire Persan-Français,192000,20,3.04,116962,978-6009115563,493,1397,1990,True,1402-07-10,5,وزیری,جلدسخت
11647,شوپنهاور و نیچه, schopenhauer and nietzsche,157500,10,3.59,11647,9789642242177,433,1401,1907,True,1402-07-08,4,رقعی,شومیز
87108,مهارت نوشتن, Big Preschool: Pre-Writing Skills,29400,30,3.45,87108,978-6222744588,24,1402,,True,1402-07-10,6,رحلی,شومیز
14639,دشت کیت, Kit's Wilderness,16800,20,3.56,14639,978-6002517661,304,1396,1999,True,1402-07-06,1,رقعی,شومیز
76588,علفزار کیت, Kit's Wilderness,63000,25,3.69,76588,978-6222040963,288,1401,1999,True,1402-07-08,1,رقعی,شومیز
3071,بهترین داستان های کوتاه ارنست همینگوی, Eernest Hemingway best short stories,236000,20,3.75,3071,9789643512965,439,1402,,True,1402-07-08,10,رقعی,شومیز
74961,آزمون زبان و گرامر انگلیسی, English grammar,200000,20,3.71,74961,978-9643130169,534,1394,,True,1402-07-06,55,وزیری,شومیز
105326,مدیریت منابع انسانی و چالش های فناوری, Human Resource Management and Technological Challenges,18700,15,3.37,105326,978-6004072076,260,1397,2013,True,1402-07-08,1,وزیری,شومیز
